année académique plan,semestre plan,code matière,matière,section responsable,type d'enseignement,nb étudiants,jour,heure début séance,heure fin séance,espace (code),nb.places dans l'espace,nombre total d'espaces,nombre total de places,overbooking
2023-2024,HIVER,PHYS-443,Physics of nuclear reactors,Physique,Exercices,25,tuesday,15:15,16:00,PHH331,30,1,30,non
2023-2024,HIVER,PHYS-443,Physics of nuclear reactors,Physique,Exercices,25,wednesday,15:15,16:00,PHH331,30,1,30,non
2023-2024,HIVER,PHYS-445,Nuclear fusion and plasma physics,Physique,Cours,51,monday,13:15,15:00,INR219,79,1,79,non
2023-2024,HIVER,PHYS-445,Nuclear fusion and plasma physics,Physique,Exercices,51,monday,15:15,17:00,INR219,79,1,79,non
2023-2024,HIVER,PHYS-448,Introduction to particle accelerators,Physique,Cours,31,thursday,13:15,15:00,BSP626,36,1,36,non
2023-2024,HIVER,PHYS-448,Introduction to particle accelerators,Physique,Exercices,31,thursday,15:15,17:00,BSP626,36,1,36,non
2023-2024,HIVER,PHYS-450,"Radiation biology, protection and applications",Physique,Cours,41,friday,13:15,15:00,BS150,64,1,64,non
2023-2024,HIVER,PHYS-450,"Radiation biology, protection and applications",Physique,Exercices,41,friday,15:15,16:00,BS150,64,1,64,non
2023-2024,HIVER,PHYS-451,Radiation and reactor experiments,Physique,TP,18,wednesday,08:15,12:00,PHxx,999,1,999,non
2023-2024,HIVER,PHYS-452,Radiation detection,Physique,Cours,11,thursday,09:15,11:00,BS150,64,1,64,non
2023-2024,HIVER,PHYS-452,Radiation detection,Physique,Exercices,11,thursday,11:15,12:00,BS150,64,1,64,non
2023-2024,HIVER,PHYS-453,Quantum electrodynamics and quantum optics,Physique,Cours,44,thursday,10:15,12:00,CHB330,68,1,68,non
2023-2024,HIVER,PHYS-453,Quantum electrodynamics and quantum optics,Physique,Exercices,44,thursday,08:15,10:00,CHB330,68,1,68,non
2023-2024,HIVER,PHYS-455,Introduction to medical radiation physics,Physique,Cours,10,friday,09:15,11:00,CM1113,22,1,22,non
2023-2024,HIVER,PHYS-455,Introduction to medical radiation physics,Physique,Exercices,10,friday,11:15,12:00,CM1113,22,1,22,non
2023-2024,HIVER,PHYS-461,Nuclear interaction : from reactors to stars,Physique,Cours,10,monday,13:15,15:00,CM013,60,1,60,non
2023-2024,HIVER,PHYS-461,Nuclear interaction : from reactors to stars,Physique,Exercices,10,monday,15:15,17:00,CM013,60,1,60,non
