label,start_datetime,end_datetime,room_capacity,room_name,course_name,course_code
cours,2024-05-13 16:00:00,2024-05-13 18:00:00,72.0,BS270,Introduction to econometrics,MGT-581
projet,2024-02-21 16:00:00,2024-02-21 19:00:00,64.0,CM1221,Emotion and value II,HUM-479
projet,2024-03-20 16:00:00,2024-03-20 19:00:00,64.0,CM1221,Emotion and value II,HUM-479
projet,2024-04-24 16:00:00,2024-04-24 19:00:00,64.0,CM1221,Emotion and value II,HUM-479
projet,2024-05-08 16:00:00,2024-05-08 19:00:00,64.0,CM1221,Emotion and value II,HUM-479
cours,2024-03-25 14:00:00,2024-03-25 16:00:00,68.0,CHB330,Chemistry of f elements,CH-427
cours,2024-03-08 13:00:00,2024-03-08 14:00:00,94.0,MEB331,Principles of digital communications,COM-302
exercice,2024-05-10 14:00:00,2024-05-10 16:00:00,94.0,MEB331,Principles of digital communications,COM-302
exercice,2024-05-17 14:00:00,2024-05-17 16:00:00,94.0,MEB331,Principles of digital communications,COM-302
cours,2024-05-31 13:00:00,2024-05-31 14:00:00,94.0,MEB331,Principles of digital communications,COM-302
exercice,2024-05-22 14:00:00,2024-05-22 17:00:00,,ELD040,TP en conversion d'énergie,EE-390(b)
exercice,2024-02-20 13:00:00,2024-02-20 15:00:00,48.0,CM010,Analysis IV,MATH-207(c)
exercice,2024-03-19 13:00:00,2024-03-19 15:00:00,48.0,CM010,Analysis IV,MATH-207(c)
exercice,2024-04-16 13:00:00,2024-04-16 15:00:00,114.0,CM1105,Analysis IV,MATH-207(c)
cours,2024-04-29 13:00:00,2024-04-29 15:00:00,348.0,SG1138,Analysis IV,MATH-207(c)
exercice,2024-05-07 13:00:00,2024-05-07 15:00:00,100.0,CM1121,Analysis IV,MATH-207(c)
cours,2024-05-13 13:00:00,2024-05-13 15:00:00,348.0,SG1138,Analysis IV,MATH-207(c)
cours,2024-02-21 10:00:00,2024-02-21 12:00:00,114.0,CM1105,Conception de mécanismes II,MICRO-201
projet,2024-02-21 12:00:00,2024-02-21 14:00:00,49.0,CM1104,Conception de mécanismes II,MICRO-201
projet,2024-02-28 12:00:00,2024-02-28 14:00:00,41.0,CO6,Conception de mécanismes II,MICRO-201
cours,2024-04-10 10:00:00,2024-04-10 12:00:00,49.0,CM1104,Conception de mécanismes II,MICRO-201
projet,2024-04-24 12:00:00,2024-04-24 14:00:00,49.0,CM1104,Conception de mécanismes II,MICRO-201
projet,2024-05-15 12:00:00,2024-05-15 14:00:00,114.0,CM1105,Conception de mécanismes II,MICRO-201
projet,2024-05-22 12:00:00,2024-05-22 14:00:00,32.0,CO4,Conception de mécanismes II,MICRO-201
